"","TIME","YEAR","QUARTER","QGVA","CHAIN_INDEX","Q_REAL_GVA_2020_2015"
"114","2023-Q2",2023,2,558446,0.99,498666.170390089
"115","2023-Q3",2023,3,591790.9,1.06,528586.140613495
"116","2023-Q4",2023,4,661423,1.12,592016.477487114
"117","2024-Q1",2024,1,569280.2,0.86,509134.170638918
"118","2024-Q2",2024,2,581442,1.02,519316.854051697
"119","2024-Q3",2024,3,593521.2,1.02,529703.19113273
"120","2024-Q4",2024,4,679844.6,1.15,609158.66980264
"121","2025-Q1",2025,1,581062.2,0.85,517784.869332244
"122","2025-Q2",2025,2,594051.5,1.02,528140.566718889
"123","2025-Q3",2025,3,NA,NA,NA
