"","TIME","YEAR","QUARTER","QGVA","CHAIN_INDEX","Q_REAL_GVA_2020_2015"
"1","1995-Q1",1995,1,185687.5,NA,165163.613027618
"2","1995-Q2",1995,2,199760.9,1.08,178376.702069828
"3","1995-Q3",1995,3,212717.6,1.06,189079.304194017
"4","1995-Q4",1995,4,227539.5,1.07,202314.855487599
"5","1996-Q1",1996,1,201061.5,0.88,178037.072829087
"6","1996-Q2",1996,2,216491.7,1.08,192280.038655414
"7","1996-Q3",1996,3,222789.2,1.03,198048.439815076
"8","1996-Q4",1996,4,231167.8,1.04,205970.377407679
"9","1997-Q1",1997,1,212303.8,0.92,189492.747215065
"10","1997-Q2",1997,2,225182.7,1.06,200862.312047969
"11","1997-Q3",1997,3,228170.3,1.01,202870.935168449
"12","1997-Q4",1997,4,255581.2,1.12,227215.447388662
"13","1998-Q1",1998,1,224077.8,0.88,199949.593702023
"14","1998-Q2",1998,2,232762.3,1.04,207947.577450104
"15","1998-Q3",1998,3,237958.1,1.02,212106.528999106
"16","1998-Q4",1998,4,267332.7,1.12,237559.312478999
"17","1999-Q1",1999,1,227499.8,0.85,201925.415607149
"18","1999-Q2",1999,2,240654.7,1.06,214040.940543578
"19","1999-Q3",1999,3,249791.5,1.04,222602.578165321
"20","1999-Q4",1999,4,287079.3,1.15,255992.964890119
"21","2000-Q1",2000,1,241076.1,0.84,215034.0905077
"22","2000-Q2",2000,2,254602.1,1.06,227936.135938162
"23","2000-Q3",2000,3,255551.6,1,227936.135938162
"24","2000-Q4",2000,4,298209.5,1.17,266685.279047649
"25","2001-Q1",2001,1,248955,0.83,221348.781609549
"26","2001-Q2",2001,2,255943.8,1.03,227989.245057836
"27","2001-Q3",2001,3,261249.3,1.02,232549.029958992
"28","2001-Q4",2001,4,297257.2,1.14,265105.894153251
"29","2002-Q1",2002,1,253144.1,0.85,225340.010030263
"30","2002-Q2",2002,2,261965.5,1.03,232100.210331171
"31","2002-Q3",2002,3,267070.7,1.02,236742.214537795
"32","2002-Q4",2002,4,300537,1.13,267518.702427708
"33","2003-Q1",2003,1,259285.7,0.86,230066.084087829
"34","2003-Q2",2003,2,270154.7,1.04,239268.727451342
"35","2003-Q3",2003,3,277745.3,1.03,246446.789274882
"36","2003-Q4",2003,4,311722.7,1.12,276020.403987868
"37","2004-Q1",2004,1,276308,0.89,245658.159549203
"38","2004-Q2",2004,2,287892.8,1.04,255484.485931171
"39","2004-Q3",2004,3,287354.5,1,255484.485931171
"40","2004-Q4",2004,4,328033.7,1.14,291252.313961535
"41","2005-Q1",2005,1,281870.8,0.86,250476.99000692
"42","2005-Q2",2005,2,300048.3,1.06,265505.609407335
"43","2005-Q3",2005,3,296505.9,0.99,262850.553313262
"44","2005-Q4",2005,4,337925.6,1.14,299649.630777118
"45","2006-Q1",2006,1,305087.9,0.9,269684.667699407
"46","2006-Q2",2006,2,315684,1.03,277775.207730389
"47","2006-Q3",2006,3,318554.7,1.01,280552.959807693
"48","2006-Q4",2006,4,352178.5,1.11,311413.785386539
"49","2007-Q1",2007,1,328059.3,0.93,289614.820409481
"50","2007-Q2",2007,2,332883.7,1.01,292510.968613576
"51","2007-Q3",2007,3,334515.9,1,292510.968613576
"52","2007-Q4",2007,4,383857,1.15,336387.613905612
"53","2008-Q1",2008,1,344849,0.9,302748.852515051
"54","2008-Q2",2008,2,350128.5,1.02,308803.829565352
"55","2008-Q3",2008,3,345085.3,0.99,305715.791269699
"56","2008-Q4",2008,4,396538.7,1.15,351573.159960153
"57","2009-Q1",2009,1,351095.8,0.89,312900.112364537
"58","2009-Q2",2009,2,354757.9,1.01,316029.113488182
"59","2009-Q3",2009,3,357475.3,1.01,319189.404623064
"60","2009-Q4",2009,4,414742.9,1.16,370259.709362754
"61","2010-Q1",2010,1,359981.9,0.87,322125.947145596
"62","2010-Q2",2010,2,366090.6,1.02,328568.466088508
"63","2010-Q3",2010,3,368878.5,1.01,331854.150749393
"64","2010-Q4",2010,4,429162.2,1.16,384950.814869296
"65","2011-Q1",2011,1,373255,0.87,334907.208936287
"66","2011-Q2",2011,2,385572.6,1.03,344954.425204376
"67","2011-Q3",2011,3,392485.1,1.02,351853.513708463
"68","2011-Q4",2011,4,451985.2,1.15,404631.540764733
"69","2012-Q1",2012,1,384601.3,0.85,343936.809650023
"70","2012-Q2",2012,2,391855.4,1.02,350815.545843023
"71","2012-Q3",2012,3,396815.7,1.01,354323.701301454
"72","2012-Q4",2012,4,451541.3,1.14,403929.019483657
"73","2013-Q1",2013,1,381646,0.85,343339.666561109
"74","2013-Q2",2013,2,395910.5,1.04,357073.253223553
"75","2013-Q3",2013,3,401009.3,1.01,360643.985755788
"76","2013-Q4",2013,4,456114,1.14,411134.143761599
"77","2014-Q1",2014,1,397818.6,0.87,357686.705072591
"78","2014-Q2",2014,2,409292.5,1.03,368417.306224769
"79","2014-Q3",2014,3,415962.9,1.02,375785.652349264
"80","2014-Q4",2014,4,474216.6,1.14,428395.643678161
"81","2015-Q1",2015,1,411758.2,0.87,372704.21
"82","2015-Q2",2015,2,425195.4,1.03,383885.3363
"83","2015-Q3",2015,3,435505.4,1.02,391563.043026
"84","2015-Q4",2015,4,502356.8,1.15,450297.4994799
"85","2016-Q1",2016,1,423595,0.84,378249.899563116
"86","2016-Q2",2016,2,439820,1.04,393379.895545641
"87","2016-Q3",2016,3,443635.6,1.01,397313.694501097
"88","2016-Q4",2016,4,519193.4,1.17,464857.022566283
"89","2017-Q1",2017,1,451199.4,0.87,404425.609632667
"90","2017-Q2",2017,2,460109.9,1.02,412514.12182532
"91","2017-Q3",2017,3,468440.7,1.02,420764.404261826
"92","2017-Q4",2017,4,537951.8,1.15,483879.0649011
"93","2018-Q1",2018,1,478499.8,0.89,430652.367761979
"94","2018-Q2",2018,2,490771,1.03,443571.938794839
"95","2018-Q3",2018,3,500068.6,1.02,452443.377570735
"96","2018-Q4",2018,4,568062.9,1.14,515785.450430638
"97","2019-Q1",2019,1,502194,0.88,453891.196378962
"98","2019-Q2",2019,2,515106.7,1.03,467507.932270331
"99","2019-Q3",2019,3,523544.4,1.02,476858.090915737
"100","2019-Q4",2019,4,587840,1.12,534081.061825626
"101","2020-Q1",2020,1,515596.8,0.88,469991.334406551
"102","2020-Q2",2020,2,475485.3,0.92,432392.027654027
"103","2020-Q3",2020,3,515651.8,1.08,466983.389866349
"104","2020-Q4",2020,4,578095.2,1.12,523021.396650311
"105","2021-Q1",2021,1,515192.2,0.89,465489.043018777
"106","2021-Q2",2021,2,527903.6,1.02,474798.823879152
"107","2021-Q3",2021,3,549046.2,1.04,493790.776834318
"108","2021-Q4",2021,4,630897,1.15,567859.393359466
"109","2022-Q1",2022,1,563631,0.89,505394.860089925
"110","2022-Q2",2022,2,558489,0.99,500340.911489025
"111","2022-Q3",2022,3,582879,1.04,520354.547948586
"112","2022-Q4",2022,4,639328.6,1.1,572390.002743445
"113","2023-Q1",2023,1,563232.9,0.88,503703.202414232
